3.0601 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor instance at 0x0B5A3468>, name='window1', pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.0602 	EXP 	window1: recordFrameIntervals = False
3.2263 	EXP 	window1: recordFrameIntervals = True
3.4106 	EXP 	window1: recordFrameIntervals = False
3.4558 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
3.4560 	EXP 	window1: recordFrameIntervals = False
3.4596 	EXP 	window1: recordFrameIntervals = False
7.5264 	DATA 	Keypress: a
7.6263 	DATA 	Keypress: s
7.6763 	DATA 	Keypress: d
7.7930 	DATA 	Keypress: f
8.8930 	DATA 	Keypress: t
8.9597 	DATA 	Keypress: h
9.0430 	DATA 	Keypress: i
9.1097 	DATA 	Keypress: s
9.1764 	DATA 	Keypress: space
9.4597 	DATA 	Keypress: i
9.5598 	DATA 	Keypress: s
9.6430 	DATA 	Keypress: space
9.7597 	DATA 	Keypress: a
9.8098 	DATA 	Keypress: space
10.0264 	DATA 	Keypress: t
10.1097 	DATA 	Keypress: e
10.3097 	DATA 	Keypress: s
10.3930 	DATA 	Keypress: t
10.5264 	DATA 	Keypress: return
11.3931 	DATA 	Keypress: t
11.4597 	DATA 	Keypress: h
11.5264 	DATA 	Keypress: i
11.5764 	DATA 	Keypress: s
11.6931 	DATA 	Keypress: space
11.8264 	DATA 	Keypress: i
11.9097 	DATA 	Keypress: s
11.9930 	DATA 	Keypress: space
12.1265 	DATA 	Keypress: a
12.2431 	DATA 	Keypress: n
12.3266 	DATA 	Keypress: o
12.4265 	DATA 	Keypress: t
12.5597 	DATA 	Keypress: h
12.6431 	DATA 	Keypress: e
12.7265 	DATA 	Keypress: r
12.8598 	DATA 	Keypress: space
12.9764 	DATA 	Keypress: t
13.1265 	DATA 	Keypress: e
13.3264 	DATA 	Keypress: s
13.4098 	DATA 	Keypress: t
13.5598 	DATA 	Keypress: return
14.1765 	DATA 	Keypress: b
14.3098 	DATA 	Keypress: l
14.3931 	DATA 	Keypress: a
14.5098 	DATA 	Keypress: h
14.7790 	DATA 	Keypress: return
15.8765 	DATA 	Keypress: return
16.4431 	DATA 	Keypress: a
16.5098 	DATA 	Keypress: s
16.5432 	DATA 	Keypress: d
16.5932 	DATA 	Keypress: l
16.5933 	DATA 	Keypress: semicolon
16.6267 	DATA 	Keypress: f
16.6932 	DATA 	Keypress: k
16.8098 	DATA 	Keypress: a
16.8431 	DATA 	Keypress: s
16.8766 	DATA 	Keypress: d
16.9268 	DATA 	Keypress: f
17.0098 	DATA 	Keypress: l
17.0431 	DATA 	Keypress: semicolon
17.0432 	DATA 	Keypress: k
17.0766 	DATA 	Keypress: j
17.3099 	DATA 	Keypress: escape
